ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-03-10 22:00:00,16466.35922932914,16222.483906966527,20595.58186943437,16466.35922932914,16466.35922932914,1887.7204879285118,1887.7204879285118,1887.7204879285118,1511.241324752054,1511.241324752054,1511.241324752054,376.4791631764581,376.4791631764581,376.4791631764581,0.0,0.0,0.0,18354.079717257653
2026-03-10 23:00:00,16463.62589424384,16885.29682980462,21249.157206991313,16463.62589424384,16463.62589424384,2549.4648757058453,2549.4648757058453,2549.4648757058453,2151.982089573329,2151.982089573329,2151.982089573329,397.4827861325163,397.4827861325163,397.4827861325163,0.0,0.0,0.0,19013.090769949686
2026-03-11 00:00:00,16460.892559158536,17126.827707909415,21498.90097509498,16460.892559158536,16460.892559158536,2880.266835553714,2880.266835553714,2880.266835553714,2462.196603296044,2462.196603296044,2462.196603296044,418.07023225767034,418.07023225767034,418.07023225767034,0.0,0.0,0.0,19341.15939471225
2026-03-11 01:00:00,16458.159224073235,17075.854334430984,21257.709123730056,16458.159224073235,16458.159224073235,2710.2616825954947,2710.2616825954947,2710.2616825954947,2272.215387715938,2272.215387715938,2272.215387715938,438.0462948795567,438.0462948795567,438.0462948795567,0.0,0.0,0.0,19168.42090666873
2026-03-11 02:00:00,16455.425888987935,16397.520887399744,20758.583456645465,16455.425888987935,16455.425888987935,2088.5113288017806,2088.5113288017806,2088.5113288017806,1631.293317010616,1631.293317010616,1631.293317010616,457.2180117911648,457.2180117911648,457.2180117911648,0.0,0.0,0.0,18543.937217789717
2026-03-11 03:00:00,16452.69255390263,15403.768291530982,19852.598995695964,16452.69255390263,16452.69255390263,1238.8523802540374,1238.8523802540374,1238.8523802540374,763.4549547203477,763.4549547203477,763.4549547203477,475.3974255336898,475.3974255336898,475.3974255336898,0.0,0.0,0.0,17691.544934156667
2026-03-11 04:00:00,16449.95921881733,14589.676197619512,18988.019379252666,16449.95921881733,16449.95921881733,399.88498311639313,399.88498311639313,399.88498311639313,-92.51929655341142,-92.51929655341142,-92.51929655341142,492.4042796698045,492.4042796698045,492.4042796698045,0.0,0.0,0.0,16849.844201933724
2026-03-11 05:00:00,16447.225883732026,14014.023340466747,18275.18236540474,16447.225883732026,16447.225883732026,-309.3629682761003,-309.3629682761003,-309.3629682761003,-817.4315826724892,-817.4315826724892,-817.4315826724892,508.068614396389,508.068614396389,508.068614396389,0.0,0.0,0.0,16137.862915455926
2026-03-11 06:00:00,16444.492548646725,13389.31246442461,17767.533480652233,16444.492548646725,16444.492548646725,-888.887627672639,-888.887627672639,-888.887627672639,-1411.1208538791832,-1411.1208538791832,-1411.1208538791832,522.233226206544,522.233226206544,522.233226206544,0.0,0.0,0.0,15555.604920974087
2026-03-11 07:00:00,16441.75921356142,13069.01472712587,17345.247909976035,16441.75921356142,16441.75921356142,-1347.177357105089,-1347.177357105089,-1347.177357105089,-1881.9333151346839,-1881.9333151346839,-1881.9333151346839,534.755958029595,534.755958029595,534.755958029595,0.0,0.0,0.0,15094.581856456332
2026-03-11 08:00:00,16439.02587847612,12755.65544122999,17181.807864584935,16439.02587847612,16439.02587847612,-1610.2349893962064,-1610.2349893962064,-1610.2349893962064,-2155.7467779718218,-2155.7467779718218,-2155.7467779718218,545.5117885756154,545.5117885756154,545.5117885756154,0.0,0.0,0.0,14828.790889079915
2026-03-11 09:00:00,16436.29254339082,12653.739772829884,17028.348123401865,16436.29254339082,16436.29254339082,-1553.3300499059756,-1553.3300499059756,-1553.3300499059756,-2107.724742130533,-2107.724742130533,-2107.724742130533,554.3946922245572,554.3946922245572,554.3946922245572,0.0,0.0,0.0,14882.962493484845
2026-03-11 10:00:00,16433.559208305516,13202.785241610756,17282.697178749684,16433.559208305516,16433.559208305516,-1129.2092178920632,-1129.2092178920632,-1129.2092178920632,-1690.5284616684723,-1690.5284616684723,-1690.5284616684723,561.3192437764089,561.3192437764089,561.3192437764089,0.0,0.0,0.0,15304.349990413453
